Date,Open,High,Low,Close,Volume
2019-01-31,46650,47050,46150,46150,21621145
2019-02-01,46650,46950,46250,46350,13832454
2019-02-07,46800,47100,46200,46200,15872001
2019-02-08,45700,45700,44650,44800,12689196
2019-02-11,44500,45000,44250,45000,11125044
2019-02-12,44650,46250,44650,46050,13184367
2019-02-13,46400,46700,46000,46200,11299738
2019-02-14,46600,47500,46150,47500,17259341
2019-02-15,46750,46850,45650,46050,10554643
2019-02-18,46500,46850,45850,46200,8183728
2019-02-19,45850,46150,45450,45950,6741395
2019-02-20,46750,47100,46500,46900,11506720
2019-02-21,46500,47200,46200,46950,8694009
2019-02-22,46500,47150,46450,47150,6895772
2019-02-25,47400,47550,47050,47350,7484716
2019-02-26,47350,47450,46500,46750,7985547
2019-02-27,47000,47250,46750,46750,8045211
2019-02-28,46400,46500,45100,45100,23569321
2019-03-04,46000,46100,44800,44850,12926539
2019-03-05,44600,45100,44150,44250,10612405
2019-03-06,44000,44300,43700,44000,10202544
2019-03-07,43400,44950,43400,44450,11049749
2019-03-08,44450,44800,43800,43800,7729069
2019-03-11,44400,44450,43650,43650,10717408
2019-03-12,44300,44950,44150,44650,11431977
2019-03-13,44250,44450,43700,43850,8108343
2019-03-14,43700,44300,43550,43850,18039161
2019-03-15,43800,44250,43700,44200,16814163
2019-03-18,43950,44150,43450,43700,8188876
2019-03-19,43750,43900,43550,43900,7609563
2019-03-20,43800,44200,43100,44050,9846242
2019-03-21,44600,46250,44050,45850,21138016
2019-03-22,46850,47000,46250,46550,12535911
2019-03-25,45300,45650,44800,45500,8699728
2019-03-26,45500,45700,44900,45250,9729811
2019-03-27,44750,45600,44250,45350,9568081
2019-03-28,44950,45200,44300,44850,6821306
2019-03-29,44500,44900,44200,44650,11491713
2019-04-01,45200,45450,44850,45050,7362129
2019-04-02,45550,46100,45350,45750,9480688
2019-04-03,46750,46750,45800,46600,12436570
2019-04-04,46150,47100,46150,46950,12650168
2019-04-05,46950,47550,46600,46850,8546339
2019-04-08,47250,47250,46150,46650,8507909
2019-04-09,46700,46950,46200,46650,6878761
2019-04-10,46400,46700,46050,46700,11883995
2019-04-11,46700,46800,46150,46250,13697399
2019-04-12,46050,46900,46000,46850,7668936
2019-04-15,47150,47500,47000,47050,8733019
2019-04-16,47400,47400,46800,47250,7730881
2019-04-17,47300,47600,47000,47050,5513658
2019-04-18,47200,47250,45500,45600,12808747
2019-04-19,45750,46000,45250,45300,8479710
2019-04-22,45400,45900,45100,45350,6006957
2019-04-23,45050,45500,45000,45200,6920566
2019-04-24,45400,45650,44150,44750,13299267
2019-04-25,44250,45000,44100,44650,10868965
2019-04-26,44200,45000,43800,44850,9739982
2019-04-29,45150,46150,45100,46150,8777517
2019-04-30,46000,46300,45350,45850,11121273
2019-05-02,45500,46150,45400,45900,8625126
2019-05-03,45900,46050,45300,45300,6562916
2019-05-07,45250,45300,44400,44850,12014907
2019-05-08,44300,44850,44200,44250,10398754
2019-05-09,43900,44250,42450,42450,23029718
2019-05-10,42600,43450,42450,42900,14579512
2019-05-13,42500,43200,42350,42650,7635079
2019-05-14,41300,43100,41300,42650,11563730
2019-05-15,42700,43050,42550,42550,7670185
2019-05-16,42350,42400,41350,41550,13687828
2019-05-17,41950,42050,40850,41200,13357951
2019-05-20,41650,42100,41550,42000,15752397
2019-05-21,42600,43950,42350,43150,18812133
2019-05-22,43700,43800,42400,43500,11033339
2019-05-23,43900,44000,43250,43850,12259006
2019-05-24,43800,43800,42400,42700,13966305
2019-05-27,42500,43000,42350,42650,8066669
2019-05-28,42550,42950,42150,42550,24506881
2019-05-29,41850,42100,41300,41800,14930618
2019-05-30,42200,42700,42150,42550,11766018
2019-05-31,42600,42800,42150,42500,11365999
2019-06-03,42950,43900,42500,43800,15466580
2019-06-04,43400,43700,43000,43450,9913497
2019-06-05,44050,44200,43700,43900,12464135
2019-06-07,43600,44350,43450,44200,11683682
2019-06-10,44300,44850,44050,44800,8792182
2019-06-11,44800,45000,44550,44850,6664872
2019-06-12,44800,45050,44300,44600,8607439
2019-06-13,44200,44400,43400,43750,16906541
2019-06-14,43750,44150,43300,44000,9322873
2019-06-17,43750,44050,43400,43900,11890424
2019-06-18,43750,44500,43650,44350,7994928
2019-06-19,45450,45450,45000,45350,10417690
2019-06-20,44850,45500,44850,45500,7147785
2019-06-21,45750,45800,45200,45700,9454913
2019-06-24,45200,45800,45200,45500,6085066
2019-06-25,45200,45800,45200,45600,7076774
2019-06-26,45800,46000,45600,45700,9226097
2019-06-27,46000,46600,45750,46500,12603534
2019-06-28,47000,47000,46700,47000,12949231
